start_station;end_station;start_date;minutes
Rousselot / Jarry;Lincoln / du Fort;27/07/2022 11:43:35;110
St-Jean-Baptiste / René-Lévesque;Place du Village-de-la-Pointe-aux-Trembles (St-Jean-Baptiste / Notre-Dame);06/06/2021 17:49:03;110
Stuart / St-Viateur;Métro Place St-Henri (St-Ferdinand / St-Jacques);28/07/2021 00:23:29;110
Everett / Garnier;des Érables / Rachel;25/08/2022 01:58:35;109
St-Joseph /21e avenue Lachine;Gagne / LaSalle;16/05/2021 12:05:32;109
Wellington / Hickson;Marché Atwater;19/08/2022 11:25:41;109
de la Salle / Ste-Catherine;Métro Frontenac (Ontario / du Havre);30/06/2021 22:56:35;109
18e avenue / Rosemont;Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont);26/07/2022 23:10:07;108
Métro Montmorency;du Souvenir / Chomedey;29/07/2021 14:30:39;108
de Versailles / St-Jacques;Young / Wellington;22/07/2022 11:27:07;108
1ère  avenue / St-Zotique;Métro Guy-Concordia (Guy / St-Catherine);03/05/2022 14:54:22;106
Bloomfield / Van Horne;Campus MIL (Outremont / Thérèse-Lavoie Roux);02/07/2022 15:35:56;106
LaSalle / 90e avenue;Place du Commerce;20/07/2022 15:08:10;106
Bibliothèque de Verdun (Brown / Bannantyne);Argyle / de Verdun;21/09/2022 12:47:08;105
Centre des loisirs (Tassé / Grenet);Place Rodolphe-Rousseau (Gohier / Édouard-Laurin);16/08/2022 14:46:45;105
Henri-Julien / de Bellechasse;St-Dominique / de Bellechasse;19/10/2022 10:33:46;105
Notre-Dame / Murray;Richmond / des Bassins;30/10/2021 16:00:45;105
Casino de Montréal;Parc Jean-Drapeau (Chemin Macdonald);24/05/2021 12:42:09;104
Parc Lalancette (de Rouen/ Valois);Métro Plamondon (de Kent / Victoria);31/07/2022 13:00:08;104
REV (Souligny / Desmarteau);Métro Viau (Viau / Pierre-de-Coubertin);09/08/2022 16:28:38;104
Wolfe / René-Lévesque;des Seigneurs / Notre-Dame;09/10/2021 16:53:18;104
